Day (2011),Borehole 4 (m),Borehole 6 (m),Borehole 7 (m),FOXX velocity (m/a),FOXX bed seperation (m),Temperature (*C),FOXX  Moulin Dday,FOXX moulin (m)
140,NaN,NaN,NaN,81.6287013443523,-0.000706246300364016,-5.432,199.017361111124,567.239925508877
140.010416666667,NaN,NaN,NaN,81.866073602231,-0.000763884458508037,-5.64000128020483,199.020833333372,560.839933381355
140.020833333333,NaN,NaN,NaN,81.343903161753,-0.000786782920095472,-5.84800191938581,199.024305555504,558.714656471938
140.03125,NaN,NaN,NaN,81.5259425017635,-0.000777221291150175,-6.05400639795269,199.027777777752,556.576672004299
140.041666666667,NaN,NaN,NaN,81.7351118779712,-0.000835970381873337,-6.28000447856688,199.03125,553.390124957872
140.052083333333,NaN,NaN,NaN,81.6629476796965,-0.000956714975254666,-6.52799871979517,199.034722222248,551.24783220347
140.0625,NaN,NaN,NaN,81.6187725937623,-0.00108452046460794,-6.78399871979517,199.038194444496,549.113449921245
140.072916666667,NaN,NaN,NaN,81.7858449860803,-0.00120885534288499,-7.03999871979517,199.041666666628,546.96660599706
140.083333333333,NaN,NaN,NaN,82.5595728848281,-0.00129774509404879,-7.25999103948763,199.045138888876,545.89944219659
140.09375,NaN,NaN,NaN,82.5030346850084,-0.00148619435245041,-7.43798464153493,199.048611111124,NaN
140.104166666667,NaN,NaN,NaN,82.697472100763,-0.00152049770967622,-7.58998656092074,199.052083333372,NaN
140.114583333333,NaN,NaN,NaN,82.4777208161133,-0.00152416282470949,-7.72799199871981,199.055555555504,NaN
140.125,NaN,NaN,NaN,82.6160099285249,-0.00155503938660949,-7.85999391902706,199.059027777752,NaN
140.135416666667,NaN,NaN,NaN,82.433700050205,-0.00151241965172051,-7.97599327892464,199.0625,NaN
140.145833333333,NaN,NaN,NaN,82.3856063917264,-0.00149499068560808,-8.1019955192831,199.065972222248,NaN
140.15625,NaN,NaN,NaN,81.931019306141,-0.00141007145852647,-8.24198976112567,199.069444444496,NaN
140.166666666667,NaN,NaN,NaN,81.878977495064,-0.0013041158817483,-8.36398976112567,199.072916666628,NaN
140.177083333333,NaN,NaN,NaN,82.3545501628633,-0.0011958679216074,-8.4659958393343,199.076388888876,NaN
140.1875,NaN,NaN,NaN,82.6565996664727,-0.00118795213103034,-8.55199807969276,199.079861111124,NaN
140.197916666667,NaN,NaN,NaN,82.7695222512964,-0.00121893857023975,-8.62799871979517,199.083333333372,NaN
140.208333333333,NaN,NaN,NaN,82.8833159349354,-0.00116116526074109,-8.70399680010222,199.086805555504,NaN
140.21875,NaN,NaN,NaN,83.2575621900702,-0.00116380505135788,-8.77199424092114,199.090277777752,NaN
140.229166666667,NaN,NaN,NaN,83.2973149666406,-0.00119828375185478,-8.82799552051168,199.09375,NaN
140.239583333333,NaN,NaN,NaN,83.6171953990751,-0.0013015128778052,-8.86999903984638,199.097222222248,NaN
140.25,NaN,NaN,NaN,83.9208597195551,-0.00139573868601972,-8.89800032005121,199.100694444496,NaN
140.260416666667,NaN,NaN,NaN,84.2616708610323,-0.00158892130454672,-8.91800032005121,199.104166666628,NaN
140.270833333333,NaN,NaN,NaN,84.3100395745953,-0.00169248194190438,-8.92999712046057,199.107638888876,NaN
140.28125,NaN,NaN,NaN,84.3072109839272,-0.0018591924536699,-8.92799520107476,199.111111111124,NaN
140.291666666667,NaN,NaN,NaN,84.2801536155634,-0.00197661581983017,-8.91399712046057,199.114583333372,NaN
140.302083333333,NaN,NaN,NaN,84.1383000875131,-0.00204647123477118,-8.88400064010241,199.118055555504,NaN
140.3125,NaN,NaN,NaN,84.0965133219281,-0.00208813424697249,-8.83600192030724,199.121527777752,NaN
140.322916666667,NaN,NaN,NaN,84.5011787760186,-0.00211416312693453,-8.768,199.125,NaN
140.333333333333,NaN,NaN,NaN,84.1834471428435,-0.00215254633767255,-8.68799744081892,199.128472222248,NaN
140.34375,NaN,NaN,NaN,84.1199620154876,-0.00207214800334852,-8.59999936020473,199.131944444496,NaN
140.354166666667,NaN,NaN,NaN,84.2154925433321,-0.0021245150190997,-8.51000191938581,199.135416666628,NaN
140.364583333333,NaN,NaN,NaN,84.2338313824329,-0.00208272360757482,-8.41800128020483,199.138888888876,NaN
140.375,NaN,NaN,NaN,83.7586538973077,-0.0020922511628259,-8.31200224035845,199.142361111124,NaN
