Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5440

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 1.5454
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 4
                beta: 2
               omega: 0
                 e_v: 1.0000e-04

Running model run (ode15s):
Run to steady
Saving model run to
./RUN/output_006_steady.nc
Fields, IC & BC initialised
Initial phi calculated in 2.1s
36600.0/37230.0 days/days; walltime: 0.2
36601.0/37230.0 days/days; walltime: 0.2
36602.0/37230.0 days/days; walltime: 0.2
36603.0/37230.0 days/days; walltime: 0.2
36604.0/37230.0 days/days; walltime: 0.2
36605.0/37230.0 days/days; walltime: 0.2
36606.0/37230.0 days/days; walltime: 0.2
36607.0/37230.0 days/days; walltime: 0.2
36608.0/37230.0 days/days; walltime: 0.2
36609.0/37230.0 days/days; walltime: 0.4
36610.0/37230.0 days/days; walltime: 0.3
36611.0/37230.0 days/days; walltime: 0.2
36612.0/37230.0 days/days; walltime: 0.2
36613.0/37230.0 days/days; walltime: 0.4
36614.0/37230.0 days/days; walltime: 0.3
36615.0/37230.0 days/days; walltime: 0.4
36616.0/37230.0 days/days; walltime: 0.3
36617.0/37230.0 days/days; walltime: 0.2
36618.0/37230.0 days/days; walltime: 0.4
36619.0/37230.0 days/days; walltime: 0.3
36620.0/37230.0 days/days; walltime: 0.3
36621.0/37230.0 days/days; walltime: 0.3
36622.0/37230.0 days/days; walltime: 0.2
--36623.0/37230.0 days/days; walltime: 23.2
36624.0/37230.0 days/days; walltime: 23.0
36625.0/37230.0 days/days; walltime: 2.2
36626.0/37230.0 days/days; walltime: 0.9
36627.0/37230.0 days/days; walltime: 0.7
36628.0/37230.0 days/days; walltime: 0.4
36629.0/37230.0 days/days; walltime: 0.3
36630.0/37230.0 days/days; walltime: 0.2
36631.0/37230.0 days/days; walltime: 0.3
36632.0/37230.0 days/days; walltime: 0.3
36633.0/37230.0 days/days; walltime: 0.1
36634.0/37230.0 days/days; walltime: 0.3
36635.0/37230.0 days/days; walltime: 0.3
36636.0/37230.0 days/days; walltime: 0.1
36637.0/37230.0 days/days; walltime: 0.3
36638.0/37230.0 days/days; walltime: 8.1
36639.0/37230.0 days/days; walltime: 26.5
36640.0/37230.0 days/days; walltime: 39.8
36641.0/37230.0 days/days; walltime: 24.3
36642.0/37230.0 days/days; walltime: 2.0
36643.0/37230.0 days/days; walltime: 1.5
36644.0/37230.0 days/days; walltime: 1.4
36645.0/37230.0 days/days; walltime: 1.1
36646.0/37230.0 days/days; walltime: 1.2
36647.0/37230.0 days/days; walltime: 1.7
36648.0/37230.0 days/days; walltime: 6.1
36649.0/37230.0 days/days; walltime: 1.3
36650.0/37230.0 days/days; walltime: 1.1
36651.0/37230.0 days/days; walltime: 1.2
36652.0/37230.0 days/days; walltime: 1.0
36653.0/37230.0 days/days; walltime: 30.2
36654.0/37230.0 days/days; walltime: 47.1
36655.0/37230.0 days/days; walltime: 81.4
36656.0/37230.0 days/days; walltime: 89.3
36657.0/37230.0 days/days; walltime: 146.1
36658.0/37230.0 days/days; walltime: 344.4
36659.0/37230.0 days/days; walltime: 161.8
36660.0/37230.0 days/days; walltime: 253.2
36661.0/37230.0 days/days; walltime: 53.2
36662.0/37230.0 days/days; walltime: 133.1
36663.0/37230.0 days/days; walltime: 43.2
36664.0/37230.0 days/days; walltime: 24.8
