Case 1:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.18945

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.0138
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.2500
                beta: 1.5000
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_001_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36623.0/37230.0 days/days; walltime: 14.1
36624.0/37230.0 days/days; walltime: 27.1
36625.0/37230.0 days/days; walltime: 29.5
36626.0/37230.0 days/days; walltime: 25.8
36627.0/37230.0 days/days; walltime: 35.2
36628.0/37230.0 days/days; walltime: 39.0
36629.0/37230.0 days/days; walltime: 34.7
36630.0/37230.0 days/days; walltime: 44.1
36631.0/37230.0 days/days; walltime: 39.3
36632.0/37230.0 days/days; walltime: 43.7
36633.0/37230.0 days/days; walltime: 47.7
36634.0/37230.0 days/days; walltime: 40.0
36635.0/37230.0 days/days; walltime: 38.1
36636.0/37230.0 days/days; walltime: 39.2
36637.0/37230.0 days/days; walltime: 38.6
36638.0/37230.0 days/days; walltime: 34.0
36639.0/37230.0 days/days; walltime: 32.7
36640.0/37230.0 days/days; walltime: 32.3
36641.0/37230.0 days/days; walltime: 33.1
36642.0/37230.0 days/days; walltime: 36.1
36643.0/37230.0 days/days; walltime: 32.8
36644.0/37230.0 days/days; walltime: 30.1
36645.0/37230.0 days/days; walltime: 42.0
36646.0/37230.0 days/days; walltime: 39.2
36647.0/37230.0 days/days; walltime: 31.1
36648.0/37230.0 days/days; walltime: 33.4
36649.0/37230.0 days/days; walltime: 46.3
36650.0/37230.0 days/days; walltime: 63.9
36651.0/37230.0 days/days; walltime: 13.2
36652.0/37230.0 days/days; walltime: 9.4
36653.0/37230.0 days/days; walltime: 16.1
36654.0/37230.0 days/days; walltime: 10.5
36655.0/37230.0 days/days; walltime: 11.6
36656.0/37230.0 days/days; walltime: 12.8
36657.0/37230.0 days/days; walltime: 9.0
36658.0/37230.0 days/days; walltime: 9.2
36659.0/37230.0 days/days; walltime: 9.2
36660.0/37230.0 days/days; walltime: 14.2
36661.0/37230.0 days/days; walltime: 6.8
36662.0/37230.0 days/days; walltime: 6.9
36663.0/37230.0 days/days; walltime: 6.1
36664.0/37230.0 days/days; walltime: 7.3
36665.0/37230.0 days/days; walltime: 6.5
36666.0/37230.0 days/days; walltime: 6.5
36667.0/37230.0 days/days; walltime: 7.3
36668.0/37230.0 days/days; walltime: 14.6
36669.0/37230.0 days/days; walltime: 8.8
36670.0/37230.0 days/days; walltime: 26.4
36671.0/37230.0 days/days; walltime: 21.9
36672.0/37230.0 days/days; walltime: 6.5
36673.0/37230.0 days/days; walltime: 5.9
36674.0/37230.0 days/days; walltime: 6.1
36675.0/37230.0 days/days; walltime: 14.5
36676.0/37230.0 days/days; walltime: 2.3
36677.0/37230.0 days/days; walltime: 4.2
36678.0/37230.0 days/days; walltime: 1.6
36679.0/37230.0 days/days; walltime: 3.1
36680.0/37230.0 days/days; walltime: 3.3
36681.0/37230.0 days/days; walltime: 3.1
36682.0/37230.0 days/days; walltime: 2.1
36683.0/37230.0 days/days; walltime: 5.5
