Case 3:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.15771

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.2500
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 3
                beta: 2
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_003_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36529.0/37230.0 days/days; walltime: 0.8
36530.0/37230.0 days/days; walltime: 0.4
36531.0/37230.0 days/days; walltime: 0.4
36532.0/37230.0 days/days; walltime: 2.1
36533.0/37230.0 days/days; walltime: 0.7
36534.0/37230.0 days/days; walltime: 0.7
36535.0/37230.0 days/days; walltime: 0.9
36536.0/37230.0 days/days; walltime: 0.7
36537.0/37230.0 days/days; walltime: 0.6
36538.0/37230.0 days/days; walltime: 0.6
36539.0/37230.0 days/days; walltime: 0.5
36540.0/37230.0 days/days; walltime: 0.3
36541.0/37230.0 days/days; walltime: 1.1
36542.0/37230.0 days/days; walltime: 0.5
36543.0/37230.0 days/days; walltime: 0.6
36544.0/37230.0 days/days; walltime: 0.6
36545.0/37230.0 days/days; walltime: 0.8
36546.0/37230.0 days/days; walltime: 0.9
36547.0/37230.0 days/days; walltime: 0.8
36548.0/37230.0 days/days; walltime: 3.4
36549.0/37230.0 days/days; walltime: 0.4
36550.0/37230.0 days/days; walltime: 0.6
36551.0/37230.0 days/days; walltime: 0.4
36552.0/37230.0 days/days; walltime: 0.5
36553.0/37230.0 days/days; walltime: 0.4
36554.0/37230.0 days/days; walltime: 0.5
36555.0/37230.0 days/days; walltime: 0.4
36556.0/37230.0 days/days; walltime: 0.5
36557.0/37230.0 days/days; walltime: 0.4
36558.0/37230.0 days/days; walltime: 0.4
36559.0/37230.0 days/days; walltime: 0.4
36560.0/37230.0 days/days; walltime: 0.5
36561.0/37230.0 days/days; walltime: 0.3
36562.0/37230.0 days/days; walltime: 0.4
36563.0/37230.0 days/days; walltime: 0.3
36564.0/37230.0 days/days; walltime: 0.4
36565.0/37230.0 days/days; walltime: 0.4
