Case 2:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.15607

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.0299
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.5000
                beta: 1.5000
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_002_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36552.0/37230.0 days/days; walltime: 0.1
36553.0/37230.0 days/days; walltime: 0.4
36554.0/37230.0 days/days; walltime: 0.4
36555.0/37230.0 days/days; walltime: 0.4
36556.0/37230.0 days/days; walltime: 0.2
36557.0/37230.0 days/days; walltime: 0.4
36558.0/37230.0 days/days; walltime: 0.3
36559.0/37230.0 days/days; walltime: 0.3
36560.0/37230.0 days/days; walltime: 0.4
36561.0/37230.0 days/days; walltime: 0.3
36562.0/37230.0 days/days; walltime: 0.3
36563.0/37230.0 days/days; walltime: 0.3
36564.0/37230.0 days/days; walltime: 0.4
36565.0/37230.0 days/days; walltime: 0.2
36566.0/37230.0 days/days; walltime: 0.4
36567.0/37230.0 days/days; walltime: 0.2
36568.0/37230.0 days/days; walltime: 0.3
36569.0/37230.0 days/days; walltime: 1.7
36570.0/37230.0 days/days; walltime: 0.4
36571.0/37230.0 days/days; walltime: 0.3
36572.0/37230.0 days/days; walltime: 0.1
36573.0/37230.0 days/days; walltime: 0.3
36574.0/37230.0 days/days; walltime: 0.2
36575.0/37230.0 days/days; walltime: 0.3
36576.0/37230.0 days/days; walltime: 0.1
36577.0/37230.0 days/days; walltime: 0.2
36578.0/37230.0 days/days; walltime: 0.1
36579.0/37230.0 days/days; walltime: 0.3
36580.0/37230.0 days/days; walltime: 0.1
36581.0/37230.0 days/days; walltime: 0.3
36582.0/37230.0 days/days; walltime: 0.2
36583.0/37230.0 days/days; walltime: 0.3
36584.0/37230.0 days/days; walltime: 0.0
36585.0/37230.0 days/days; walltime: 0.3
36586.0/37230.0 days/days; walltime: 0.2
36587.0/37230.0 days/days; walltime: 0.3
36588.0/37230.0 days/days; walltime: 0.1
36589.0/37230.0 days/days; walltime: 0.3
36590.0/37230.0 days/days; walltime: 0.2
36591.0/37230.0 days/days; walltime: 0.1
36592.0/37230.0 days/days; walltime: 0.3
36593.0/37230.0 days/days; walltime: 0.1
36594.0/37230.0 days/days; walltime: 0.3
36595.0/37230.0 days/days; walltime: 0.1
