Case 5:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.19737

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.2500
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.5000
                beta: 1.5000
               omega: 5.0000e-04
                 e_v: 1.0000e-04

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_005_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36532.0/36682.0 days/days; walltime: 2.7
36533.0/36682.0 days/days; walltime: 0.8
36534.0/36682.0 days/days; walltime: 0.7
36535.0/36682.0 days/days; walltime: 0.8
36536.0/36682.0 days/days; walltime: 0.7
36537.0/36682.0 days/days; walltime: 0.7
36538.0/36682.0 days/days; walltime: 0.7
36539.0/36682.0 days/days; walltime: 0.7
36540.0/36682.0 days/days; walltime: 0.5
36541.0/36682.0 days/days; walltime: 0.7
36542.0/36682.0 days/days; walltime: 0.7
36543.0/36682.0 days/days; walltime: 0.5
36544.0/36682.0 days/days; walltime: 0.6
36545.0/36682.0 days/days; walltime: 0.5
36546.0/36682.0 days/days; walltime: 0.6
36547.0/36682.0 days/days; walltime: 0.5
36548.0/36682.0 days/days; walltime: 0.4
36549.0/36682.0 days/days; walltime: 0.6
36550.0/36682.0 days/days; walltime: 0.4
36551.0/36682.0 days/days; walltime: 0.4
36552.0/36682.0 days/days; walltime: 0.4
36553.0/36682.0 days/days; walltime: 0.2
36554.0/36682.0 days/days; walltime: 0.6
36555.0/36682.0 days/days; walltime: 0.3
36556.0/36682.0 days/days; walltime: 0.5
36557.0/36682.0 days/days; walltime: 0.5
36558.0/36682.0 days/days; walltime: 0.5
36559.0/36682.0 days/days; walltime: 0.5
36560.0/36682.0 days/days; walltime: 0.6
36561.0/36682.0 days/days; walltime: 5.3
36562.0/36682.0 days/days; walltime: 0.5
36563.0/36682.0 days/days; walltime: 0.2
36564.0/36682.0 days/days; walltime: 0.6
36565.0/36682.0 days/days; walltime: 0.4
36566.0/36682.0 days/days; walltime: 0.4
36567.0/36682.0 days/days; walltime: 0.4
36568.0/36682.0 days/days; walltime: 0.4
36569.0/36682.0 days/days; walltime: 0.4
36570.0/36682.0 days/days; walltime: 0.4
36571.0/36682.0 days/days; walltime: 0.4
36572.0/36682.0 days/days; walltime: 0.4
36573.0/36682.0 days/days; walltime: 0.4
36574.0/36682.0 days/days; walltime: 0.3
36575.0/36682.0 days/days; walltime: 0.4
36576.0/36682.0 days/days; walltime: 0.4
36577.0/36682.0 days/days; walltime: 0.1
36578.0/36682.0 days/days; walltime: 0.3
36579.0/36682.0 days/days; walltime: 0.4
36580.0/36682.0 days/days; walltime: 0.3
36581.0/36682.0 days/days; walltime: 0.3
36582.0/36682.0 days/days; walltime: 0.2
36583.0/36682.0 days/days; walltime: 0.3
36584.0/36682.0 days/days; walltime: 0.3
36585.0/36682.0 days/days; walltime: 0.3
36586.0/36682.0 days/days; walltime: 0.1
36587.0/36682.0 days/days; walltime: 0.3
36588.0/36682.0 days/days; walltime: 0.3
36589.0/36682.0 days/days; walltime: 0.1
36590.0/36682.0 days/days; walltime: 0.3
36591.0/36682.0 days/days; walltime: 0.1
36592.0/36682.0 days/days; walltime: 0.3
36593.0/36682.0 days/days; walltime: 0.3
36594.0/36682.0 days/days; walltime: 0.1
36595.0/36682.0 days/days; walltime: 0.3
36596.0/36682.0 days/days; walltime: 0.3
36597.0/36682.0 days/days; walltime: 0.1
36598.0/36682.0 days/days; walltime: 0.3
36599.0/36682.0 days/days; walltime: 0.1
36600.0/36682.0 days/days; walltime: 0.3
36601.0/36682.0 days/days; walltime: 0.1
36602.0/36682.0 days/days; walltime: 0.3
36603.0/36682.0 days/days; walltime: 0.1
36604.0/36682.0 days/days; walltime: 0.3
36605.0/36682.0 days/days; walltime: 0.1
36606.0/36682.0 days/days; walltime: 0.3
36607.0/36682.0 days/days; walltime: 0.3
36608.0/36682.0 days/days; walltime: 0.2
36609.0/36682.0 days/days; walltime: 0.2
36610.0/36682.0 days/days; walltime: 0.1
36611.0/36682.0 days/days; walltime: 0.2
36612.0/36682.0 days/days; walltime: 0.3
36613.0/36682.0 days/days; walltime: 0.1
36614.0/36682.0 days/days; walltime: 0.4
36615.0/36682.0 days/days; walltime: 0.2
36616.0/36682.0 days/days; walltime: 0.3
36617.0/36682.0 days/days; walltime: 0.2
36618.0/36682.0 days/days; walltime: 0.1
36619.0/36682.0 days/days; walltime: 0.2
36620.0/36682.0 days/days; walltime: 0.3
36621.0/36682.0 days/days; walltime: 0.2
36622.0/36682.0 days/days; walltime: 0.3
--36623.0/36682.0 days/days; walltime: 91.6
36624.0/36682.0 days/days; walltime: 42.5
36625.0/36682.0 days/days; walltime: 1.2
36626.0/36682.0 days/days; walltime: 0.5
36627.0/36682.0 days/days; walltime: 0.4
36628.0/36682.0 days/days; walltime: 0.3
36629.0/36682.0 days/days; walltime: 0.3
36630.0/36682.0 days/days; walltime: 0.3
36631.0/36682.0 days/days; walltime: 0.4
36632.0/36682.0 days/days; walltime: 0.2
36633.0/36682.0 days/days; walltime: 0.3
36634.0/36682.0 days/days; walltime: 0.2
36635.0/36682.0 days/days; walltime: 0.3
36636.0/36682.0 days/days; walltime: 0.2
36637.0/36682.0 days/days; walltime: 0.3
-36638.0/36682.0 days/days; walltime: 10.6
36639.0/36682.0 days/days; walltime: 64.0
36640.0/36682.0 days/days; walltime: 57.7
36641.0/36682.0 days/days; walltime: 31.2
36642.0/36682.0 days/days; walltime: 1.1
36643.0/36682.0 days/days; walltime: 0.9
36644.0/36682.0 days/days; walltime: 0.9
36645.0/36682.0 days/days; walltime: 1.1
36646.0/36682.0 days/days; walltime: 1.1
36647.0/36682.0 days/days; walltime: 3.0
36648.0/36682.0 days/days; walltime: 0.5
36649.0/36682.0 days/days; walltime: 0.7
36650.0/36682.0 days/days; walltime: 0.7
36651.0/36682.0 days/days; walltime: 0.5
36652.0/36682.0 days/days; walltime: 0.9
36653.0/36682.0 days/days; walltime: 65.2
36654.0/36682.0 days/days; walltime: 117.5
36655.0/36682.0 days/days; walltime: 374.8
36656.0/36682.0 days/days; walltime: 375.7
36657.0/36682.0 days/days; walltime: 418.7
36658.0/36682.0 days/days; walltime: 484.5
36659.0/36682.0 days/days; walltime: 18.9
36660.0/36682.0 days/days; walltime: 507.2
