Case 4:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.19456

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.2500
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.2500
                beta: 1.5000
               omega: 5.0000e-04
                 e_v: 1.0000e-04

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_004_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36546.0/36682.0 days/days; walltime: 0.5
36547.0/36682.0 days/days; walltime: 0.6
36548.0/36682.0 days/days; walltime: 0.4
36549.0/36682.0 days/days; walltime: 0.4
36550.0/36682.0 days/days; walltime: 0.4
36551.0/36682.0 days/days; walltime: 0.6
36552.0/36682.0 days/days; walltime: 0.4
36553.0/36682.0 days/days; walltime: 0.4
36554.0/36682.0 days/days; walltime: 0.4
36555.0/36682.0 days/days; walltime: 0.4
36556.0/36682.0 days/days; walltime: 0.4
36557.0/36682.0 days/days; walltime: 0.4
36558.0/36682.0 days/days; walltime: 0.6
36559.0/36682.0 days/days; walltime: 0.4
36560.0/36682.0 days/days; walltime: 0.2
36561.0/36682.0 days/days; walltime: 0.5
36562.0/36682.0 days/days; walltime: 0.5
36563.0/36682.0 days/days; walltime: 0.7
36564.0/36682.0 days/days; walltime: 0.5
36565.0/36682.0 days/days; walltime: 0.5
36566.0/36682.0 days/days; walltime: 0.5
36567.0/36682.0 days/days; walltime: 0.5
36568.0/36682.0 days/days; walltime: 0.2
36569.0/36682.0 days/days; walltime: 0.4
36570.0/36682.0 days/days; walltime: 3.2
36571.0/36682.0 days/days; walltime: 0.4
36572.0/36682.0 days/days; walltime: 0.3
36573.0/36682.0 days/days; walltime: 0.4
36574.0/36682.0 days/days; walltime: 0.4
36575.0/36682.0 days/days; walltime: 0.2
36576.0/36682.0 days/days; walltime: 0.4
36577.0/36682.0 days/days; walltime: 0.3
36578.0/36682.0 days/days; walltime: 0.4
36579.0/36682.0 days/days; walltime: 0.3
36580.0/36682.0 days/days; walltime: 0.3
36581.0/36682.0 days/days; walltime: 0.2
36582.0/36682.0 days/days; walltime: 0.3
36583.0/36682.0 days/days; walltime: 0.3
36584.0/36682.0 days/days; walltime: 0.3
36585.0/36682.0 days/days; walltime: 0.2
36586.0/36682.0 days/days; walltime: 0.3
36587.0/36682.0 days/days; walltime: 0.3
36588.0/36682.0 days/days; walltime: 0.2
36589.0/36682.0 days/days; walltime: 0.3
36590.0/36682.0 days/days; walltime: 0.3
36591.0/36682.0 days/days; walltime: 0.2
36592.0/36682.0 days/days; walltime: 0.3
36593.0/36682.0 days/days; walltime: 0.3
36594.0/36682.0 days/days; walltime: 0.1
36595.0/36682.0 days/days; walltime: 0.3
36596.0/36682.0 days/days; walltime: 0.2
36597.0/36682.0 days/days; walltime: 0.3
36598.0/36682.0 days/days; walltime: 0.3
36599.0/36682.0 days/days; walltime: 0.1
36600.0/36682.0 days/days; walltime: 0.3
36601.0/36682.0 days/days; walltime: 0.1
36602.0/36682.0 days/days; walltime: 0.3
36603.0/36682.0 days/days; walltime: 0.3
36604.0/36682.0 days/days; walltime: 0.1
36605.0/36682.0 days/days; walltime: 0.3
36606.0/36682.0 days/days; walltime: 0.1
36607.0/36682.0 days/days; walltime: 0.3
36608.0/36682.0 days/days; walltime: 0.3
36609.0/36682.0 days/days; walltime: 0.2
36610.0/36682.0 days/days; walltime: 0.3
36611.0/36682.0 days/days; walltime: 0.1
36612.0/36682.0 days/days; walltime: 0.3
36613.0/36682.0 days/days; walltime: 0.3
36614.0/36682.0 days/days; walltime: 0.2
36615.0/36682.0 days/days; walltime: 0.3
36616.0/36682.0 days/days; walltime: 0.3
36617.0/36682.0 days/days; walltime: 0.1
36618.0/36682.0 days/days; walltime: 0.3
36619.0/36682.0 days/days; walltime: 0.1
36620.0/36682.0 days/days; walltime: 0.3
36621.0/36682.0 days/days; walltime: 0.3
36622.0/36682.0 days/days; walltime: 0.1
--36623.0/36682.0 days/days; walltime: 54.2
36624.0/36682.0 days/days; walltime: 41.9
36625.0/36682.0 days/days; walltime: 1.5
36626.0/36682.0 days/days; walltime: 0.5
36627.0/36682.0 days/days; walltime: 0.3
36628.0/36682.0 days/days; walltime: 0.3
36629.0/36682.0 days/days; walltime: 0.3
36630.0/36682.0 days/days; walltime: 0.2
36631.0/36682.0 days/days; walltime: 0.3
36632.0/36682.0 days/days; walltime: 0.4
36633.0/36682.0 days/days; walltime: 0.2
36634.0/36682.0 days/days; walltime: 0.3
36635.0/36682.0 days/days; walltime: 9.2
36636.0/36682.0 days/days; walltime: 7.7
36637.0/36682.0 days/days; walltime: 0.4
-36638.0/36682.0 days/days; walltime: 12.0
36639.0/36682.0 days/days; walltime: 63.1
36640.0/36682.0 days/days; walltime: 58.3
36641.0/36682.0 days/days; walltime: 41.9
36642.0/36682.0 days/days; walltime: 1.1
36643.0/36682.0 days/days; walltime: 0.7
36644.0/36682.0 days/days; walltime: 0.6
36645.0/36682.0 days/days; walltime: 0.8
36646.0/36682.0 days/days; walltime: 0.6
36647.0/36682.0 days/days; walltime: 0.6
36648.0/36682.0 days/days; walltime: 0.7
36649.0/36682.0 days/days; walltime: 0.6
36650.0/36682.0 days/days; walltime: 0.6
36651.0/36682.0 days/days; walltime: 0.5
36652.0/36682.0 days/days; walltime: 1.1
36653.0/36682.0 days/days; walltime: 59.9
36654.0/36682.0 days/days; walltime: 98.3
36655.0/36682.0 days/days; walltime: 314.9
36656.0/36682.0 days/days; walltime: 290.5
36657.0/36682.0 days/days; walltime: 406.2
36658.0/36682.0 days/days; walltime: 408.6
36659.0/36682.0 days/days; walltime: 30.9
36660.0/36682.0 days/days; walltime: 443.7
36661.0/36682.0 days/days; walltime: 181.1
36662.0/36682.0 days/days; walltime: 233.7
36663.0/36682.0 days/days; walltime: 126.6
36664.0/36682.0 days/days; walltime: 33.7
36665.0/36682.0 days/days; walltime: 45.1
36666.0/36682.0 days/days; walltime: 100.3
36667.0/36682.0 days/days; walltime: 135.6
36668.0/36682.0 days/days; walltime: 898.6
36669.0/36682.0 days/days; walltime: 368.2
36670.0/36682.0 days/days; walltime: 65.2
36671.0/36682.0 days/days; walltime: 68.9
36672.0/36682.0 days/days; walltime: 134.1
36673.0/36682.0 days/days; walltime: 299.2
36674.0/36682.0 days/days; walltime: 260.5
36675.0/36682.0 days/days; walltime: 76.4
36676.0/36682.0 days/days; walltime: 445.1
36677.0/36682.0 days/days; walltime: 398.8
36678.0/36682.0 days/days; walltime: 144.2
36679.0/36682.0 days/days; walltime: 135.4
36680.0/36682.0 days/days; walltime: 131.6
36681.0/36682.0 days/days; walltime: 73.0
36682.0/36682.0 days/days; walltime: 60.1
Wallclock for model run: 7036.5s
 

fields = 

  struct with fields:

    nodes: [1x1 struct]
    edges: [1x1 struct]
       BC: [1x1 struct]


ans =

   366


mean_melt =

    0.9566

No cases left; exiting.
